image_id,id,caption_words,caption_digits
85576,76602,An empty toilet stall with two rolls of used toilet paper and one full roll.,An empty toilet stall with 2 rolls of used toilet paper and 1 full roll.
85576,77508,Two empty toilet paper roll holders hang in the stall while the empties lay around and a nice roll sets on the bar.,2 empty toilet paper roll holders hang in the stall while the empties lay around and a nice roll sets on the bar.
571857,85001,"In the desert, two people are sitting next to a small propeller plane next to a tent with other planes in the background.","In the desert, 2 people are sitting next to a small propeller plane next to a tent with other planes in the background."
163746,85903,Two almost identical photos with some minor cropping show two young girls standing on the coast with people in the water in the background as a plane flies overhead.,2 almost identical photos with some minor cropping show 2 young girls standing on the coast with people in the water in the background as a plane flies overhead.
571857,90485,two people outside sitting on chairs with planes around them.,2 people outside sitting on chairs with planes around them.
571857,98324,two people are camping out in the desert.,2 people are camping out in the desert.
214192,100329,two motocross racers in the middle of a race.,2 motocross racers in the middle of a race.
214192,101382,Two competitors skidding during a dirt bike competition.,2 competitors skidding during a dirt bike competition.
214192,102447,A picture of two motorcross people skidding in the dirtroad.,A picture of 2 motorcross people skidding in the dirtroad.
214192,107862,two people on dirt bikes making turns on a track.,2 people on dirt bikes making turns on a track.
206135,111064,The view of four cows standing in a row from behind.,The view of 4 cows standing in a row from behind.
206135,115039,Four cows stand in the parking lot of a church.,4 cows stand in the parking lot of a church.
216497,116851,In an unfinished room a counter sits with three chairs while a stove and cabinets sit in the distance.,In an unfinished room a counter sits with 3 chairs while a stove and cabinets sit in the distance.
1761,117569,Two planes flying in the sky over a bridge.,2 planes flying in the sky over a bridge.
3661,118293,The four huge bananas are still connected together.,The 4 huge bananas are still connected together.
441586,119284,a person riding a two thick wheeled bike on sand.,a person riding a 2 thick wheeled bike on sand.
1761,119546,"Two planes fly over a bridge in Sydney, Australia, with the Sydney Opera House in the background.","2 planes fly over a bridge in Sydney, Australia, with the Sydney Opera House in the background."
441586,119737,A man standing on a vehicle with two large wheels.,A man standing on a vehicle with 2 large wheels.
537812,120417,A small bathroom with two containers catching plumbing drips.,A small bathroom with 2 containers catching plumbing drips.
58705,121587,Two people posing in funny hats for a camera.,2 people posing in funny hats for a camera.
1761,123905,two jets are flying over a bridge and some water.,2 jets are flying over a bridge and some water.
1761,123944,Two airplanes flying in the sky above a black bridge.,2 airplanes flying in the sky above a black bridge.
267351,126355,Two clocks on perpendicular facades of a church bell tower.,2 clocks on perpendicular facades of a church bell tower.
427338,130715,Two men are riding motorcycles through some ruins.,2 men are riding motorcycles through some ruins.
527220,133025,A red Ferrari at a gas station showing the gas prices and three mopeds.,A red Ferrari at a gas station showing the gas prices and 3 mopeds.
122217,133434,Two people skateboarding down a roadway in a downhill descent.,2 people skateboarding down a roadway in a downhill descent.
206135,135823,Four cow rears stand in front of a building with a steeple.,4 cow rears stand in front of a building with a steeple.
122217,136170,Two male skateboarders rolling down a paved slope.,2 male skateboarders rolling down a paved slope.
168337,136635,Two people outside of a stone building near a red fire hydrant.,2 people outside of a stone building near a red fire hydrant.
122217,137943,"Two longboarders coasting, crouched, across a downhill road.","2 longboarders coasting, crouched, across a downhill road."
58705,139221,There are two people posing and one man is holding a banana.,There are 2 people posing and 1 man is holding a banana.
122217,140499,two people riding skate boards on a hilly road.,2 people riding skate boards on a hilly road.
122217,142149,Two people on skateboards riding down a slanted road.,2 people on skateboards riding down a slanted road.
168337,142653,There are two people standing on the side of a street.,There are 2 people standing on the side of a street.
206135,158965,There are four cows standing on the side of a road.,There are 4 cows standing on the side of a road.
522751,162232,A traffic signal next to two other traffic signals.,A traffic signal next to 2 other traffic signals.
435003,167840,A desk with two computer monitors and a laptop.,A desk with 2 computer monitors and a laptop.
435003,168482,A computer desk that has three monitors on top of it.,A computer desk that has 3 monitors on top of it.
491090,169865,A man sitting on one of a group of motorcycles.,A man sitting on 1 of a group of motorcycles.
130826,171485,Two men sitting next to each other on a wooden bench.,2 men sitting next to each other on a wooden bench.
472623,175846,A man balances his bicycle on one wheel.,A man balances his bicycle on 1 wheel.
384850,176156,A bathroom with a shower curtain that has four palm trees on it and a white tile floor.,A bathroom with a shower curtain that has 4 palm trees on it and a white tile floor.
435003,177335,A computer workstation with a laptop and two additional monitors.,A computer workstation with a laptop and 2 additional monitors.
384850,177674,A bathroom with a white shower curtain that has four trees on it.,A bathroom with a white shower curtain that has 4 trees on it.
531707,185285,Four older men sitting on a wooden bench.,4 older men sitting on a wooden bench.
130826,185306,two elder people sit on a bench on a bus street.,2 elder people sit on a bench on a bus street.
531707,185792,A black and white photo of four elderly people sitting in a bench overlooking the ocean.,A black and white photo of 4 elderly people sitting in a bench overlooking the ocean.
53505,186030,There are a variety of bottles and two towels over the toilet.,There are a variety of bottles and 2 towels over the toilet.
570782,187008,Three computers without screens sit on a desk.,3 computers without screens sit on a desk.
531707,188567,A group of four elders sit on a park bench in front of the ocean.,A group of 4 elders sit on a park bench in front of the ocean.
69213,189060,Two men wearing suits and hats are walking together.,2 men wearing suits and hats are walking together.
408112,193073,Two airplanes are parked on the landing strip.,2 airplanes are parked on the landing strip.
221502,195569,A memorial park bench with two pots of cut flowers.,A memorial park bench with 2 pots of cut flowers.
243495,197203,There are two rolls of toilet paper and a hand dispenser on the bathroom wall.,There are 2 rolls of toilet paper and a hand dispenser on the bathroom wall.
69213,197682,Two men in blazers and fedoras with a moped in the background.,2 men in blazers and fedoras with a moped in the background.
286907,199497,A simple blue bathroom with only one toilet.,A simple blue bathroom with only 1 toilet.
553094,202399,two gray jets are flying next to each other.,2 gray jets are flying next to each other.
69213,203784,Two men who are wearing suits and hats standing next to each other.,2 men who are wearing suits and hats standing next to each other.
69213,204414,two men wearing hats standing next to each other.,2 men wearing hats standing next to each other.
69213,205830,Two men are dressed in blazers and hats in a rural village area.,2 men are dressed in blazers and hats in a rural village area.
84752,206324,a jet on three pillars in front of a building.,a jet on 3 pillars in front of a building.
570782,206637,a desk with two laptops and a monitor.,a desk with 2 laptops and a monitor.
84752,206684,A fighter jet sitting on top of a set of three cement blocks.,A fighter jet sitting on top of a set of 3 cement blocks.
408112,209795,One white and red plane and one grey plane on the ground.,1 white and red plane and 1 grey plane on the ground.
536343,211955,Photo of a bathtub with two towels placed on a rack at the far end of the tub.,Photo of a bathtub with 2 towels placed on a rack at the far end of the tub.
8211,215677,Two people are sitting on chairs talking on at a corner.,2 people are sitting on chairs talking on at a corner.
8211,216061,Two men sitting on the street in front of a building.,2 men sitting on the street in front of a building.
34873,216966,a black counter a sink and a table and two chairs.,a black counter a sink and a table and 2 chairs.
570782,220185,Three computers sit opened on top of the desk.,3 computers sit opened on top of the desk.
293324,232469,Three Finnair planes are parked at the gates on this side of the terminal.,3 Finnair planes are parked at the gates on this side of the terminal.
33854,233673,Two cars facing towards a variety of motorcycles.,2 cars facing towards a variety of motorcycles.
8211,235663,Two men setting next to each other on the street.,2 men setting next to each other on the street.
33854,235710,Two very old time cars in front of a group of motorcycles.,2 very old time cars in front of a group of motorcycles.
467511,243628,Two adults with helmets beside a motorcycle on pavement.,2 adults with helmets beside a motorcycle on pavement.
11149,244901,Two parked bikes on a sidewalk with a person riding a motor bike.,2 parked bikes on a sidewalk with a person riding a motor bike.
383443,251941,A large white bathroom with two vanity sinks and a bathtub.,A large white bathroom with 2 vanity sinks and a bathtub.
467511,252139,two people stand in front of a motorcycle.,2 people stand in front of a motorcycle.
209613,261466,Three look alike dogs are herding sheep into a pile.,3 look alike dogs are herding sheep into a pile.
209613,263731,Small group of sheep being herded by three border collies.,Small group of sheep being herded by 3 border collies.
386457,265168,Cat wedged between two large oak doors trying to get out.,Cat wedged between 2 large oak doors trying to get out.
209613,266209,These sheep are being watched by three dogs.,These sheep are being watched by 3 dogs.
77396,266274,These two cats are playing in a room that has a large TV and a laptop computer.,These 2 cats are playing in a room that has a large TV and a laptop computer.
103585,267139,A bathroom with two sinks sitting under mirrors.,A bathroom with 2 sinks sitting under mirrors.
37670,267632,Someone holding up a remote with six buttons.,Someone holding up a remote with 6 buttons.
386457,268483,a cat stares through an opening between two doors.,a cat stares through an opening between 2 doors.
77396,268530,Two cats playing in a room with a laptop and television.,2 cats playing in a room with a laptop and television.
209613,268615,A group of sheep in a field with three dogs close by.,A group of sheep in a field with 3 dogs close by.
44279,269948,Two men work in the kitchen of a restaurant.,2 men work in the kitchen of a restaurant.
44279,270368,Two men cooking in a stainless steel restaurant kitchen.,2 men cooking in a stainless steel restaurant kitchen.
44279,271061,Two men cooking and packaging food in a kitchen.,2 men cooking and packaging food in a kitchen.
209613,272065,A group of sheep surrounded by three dogs.,A group of sheep surrounded by 3 dogs.
103585,273622,a bathroom with two sinks with a light on above them.,a bathroom with 2 sinks with a light on above them.
103585,274594,A toilet with two sinks and mirrors with lights on.,A toilet with 2 sinks and mirrors with lights on.
77396,276078,"One cat lying on the floor, and another with its front paws up on a stool.","1 cat lying on the floor, and another with its front paws up on a stool."
255401,276787,A dirty bathroom with two toilets and a sink.,A dirty bathroom with 2 toilets and a sink.
173302,277255,An empty restaurant with two employees working behind the counter.,An empty restaurant with 2 employees working behind the counter.
490936,282935,two covered motorcycles in a row of motorcycles parked on the street.,2 covered motorcycles in a row of motorcycles parked on the street.
376310,294274,A rest room with three sinks and a well lighted mirror.,A rest room with 3 sinks and a well lighted mirror.
376310,294787,A nice lighted bathroom has three fancy sinks.,A nice lighted bathroom has 3 fancy sinks.
376310,299533,A purple bathroom with three sinks and a purple countertop with a mirror surrounded with light bulbs.,A purple bathroom with 3 sinks and a purple countertop with a mirror surrounded with light bulbs.
449996,309912,Two planes in runway and another plane in the sky.,2 planes in runway and another plane in the sky.
534827,311018,five men riding their motor cycles on the street.,5 men riding their motor cycles on the street.
449996,313263,Two jumbo jets are driving on the runway of an airport.,2 jumbo jets are driving on the runway of an airport.
449996,314817,Some parked airplanes and one airplane in the sky.,Some parked airplanes and 1 airplane in the sky.
534827,315014,Five people riding some motorbikes on the road.,5 people riding some motorbikes on the road.
480021,315791,A man on a motorcycle is waving at two men.,A man on a motorcycle is waving at 2 men.
565045,316449,Blue bathroom with two white towels hanging by the shower.,Blue bathroom with 2 white towels hanging by the shower.
565045,317697,Two towels are hanging on the wall beside a shower door.,2 towels are hanging on the wall beside a shower door.
508370,320591,A couple of men as one points to the right next to a bicycle.,A couple of men as 1 points to the right next to a bicycle.
300659,320904,Seven jets fly in formation leaving trails of smoke behind them.,7 jets fly in formation leaving trails of smoke behind them.
363840,321537,A desk with two laptops and a monitor.,A desk with 2 laptops and a monitor.
241319,321762,A bathroom sink with two toothbrushes facing each other.,A bathroom sink with 2 toothbrushes facing each other.
363840,322035,"Two laptops,computer,keyboard and other electrical gadgets are on the table.","2 laptops,computer,keyboard and other electrical gadgets are on the table."
363840,322041,two laptops a mouse cords wires and a monitor.,2 laptops a mouse cords wires and a monitor.
52996,322128,Two woman soldiers talking to other women in a kitchen.,2 woman soldiers talking to other women in a kitchen.
186980,322432,A wooden table with two chairs next to a sink.,A wooden table with 2 chairs next to a sink.
241319,323160,Two toothbrushes sits on the opposite side of each other on the double faucet sink.,2 toothbrushes sits on the opposite side of each other on the double faucet sink.
186980,323698,a wooden dinette table and two chairs with place settings.,a wooden dinette table and 2 chairs with place settings.
241319,323970,Two toothbrushes each in a glass on the sink.,2 toothbrushes each in a glass on the sink.
508370,325865,two men standing next to a bike parked on a street corner.,2 men standing next to a bike parked on a street corner.
37751,327005,Two motorcycle riders are on a dirt path.,2 motorcycle riders are on a dirt path.
508370,329483,There are two men standing next to a bike and a doll.,There are 2 men standing next to a bike and a doll.
244833,335821,there are two motorcycles that are parked behind seats.,there are 2 motorcycles that are parked behind seats.
182611,341044,Two people with lots of food on a table and each has a plate.,2 people with lots of food on a table and each has a plate.
244833,341869,two motorcycles line up as they lean against some seats.,2 motorcycles line up as they lean against some seats.
453302,351186,"A workplace break room kitchenette, with refrigerator, two microwave ovens, a toaster and sink.","A workplace break room kitchenette, with refrigerator, 2 microwave ovens, a toaster and sink."
57672,353568,The boat is full of many rowers as one person stands steering.,The boat is full of many rowers as 1 person stands steering.
453302,353745,A break room kitchen is shown with two microwaves.,A break room kitchen is shown with 2 microwaves.
84241,364658,Three women cooking in a professional kitchen together.,3 women cooking in a professional kitchen together.
84241,367343,Two women are laughing in the kitchen while they cook.,2 women are laughing in the kitchen while they cook.
84241,367931,two women are talking while they cook in a kitchen.,2 women are talking while they cook in a kitchen.
519569,372699,The small kitchen has large cabinets and two stoves.,The small kitchen has large cabinets and 2 stoves.
135673,374914,Two planes are close together in the sky.,2 planes are close together in the sky.
135673,376624,Two planes fly in the air near each other.,2 planes fly in the air near each other.
135673,377479,Two airplanes having a close call in the sky.,2 airplanes having a close call in the sky.
227478,377837,"two women sitting on a park bench, one looking over her shoulder.","2 women sitting on a park bench, 1 looking over her shoulder."
227478,378284,Two women sit next to each other on a park bench.,2 women sit next to each other on a park bench.
227478,378974,two people sitting on a bench near trees.,2 people sitting on a bench near trees.
446651,381389,a close up of two people riding a motorcycle.,a close up of 2 people riding a motorcycle.
254814,381748,Lot of two wheelers crossing across the road at a signal.,Lot of 2 wheelers crossing across the road at a signal.
135673,383611,Two large airplanes flying through a blue sky.,2 large airplanes flying through a blue sky.
279278,396547,Three people stand on the street talking next to a dog.,3 people stand on the street talking next to a dog.
32817,398202,Two men stand over the green water spilled from a toilet.,2 men stand over the green water spilled from a toilet.
32817,398520,Two men working on and repairing a toilet.,2 men working on and repairing a toilet.
22396,400283,an air plane in the sky with a three quarter moon out.,an air plane in the sky with a 3 quarter moon out.
32817,401379,Two men are doing work in a bathroom.,2 men are doing work in a bathroom.
144003,402165,some people and two women are cutting a white cake.,some people and 2 women are cutting a white cake.
485237,403400,Two large jets sitting on top of an airport runway.,2 large jets sitting on top of an airport runway.
323202,406886,A toilet that has three sea shells on top.,A toilet that has 3 sea shells on top.
485237,408872,Two commercial jets on a runway at an airport.,2 commercial jets on a runway at an airport.
485237,408980,Two planes are on a runway beside trucks.,2 planes are on a runway beside trucks.
291634,409376,One bicycle is parked next to many motorcycles.,1 bicycle is parked next to many motorcycles.
323202,410456,A toilet with three seashells sitting on top of it.,A toilet with 3 seashells sitting on top of it.
186632,410660,The large bathroom has four sinks and a chandelier.,The large bathroom has 4 sinks and a chandelier.
485237,413363,Two jumbo jet air planes on a runway facing each other.,2 jumbo jet air planes on a runway facing each other.
239041,415508,A bathroom with purple walls and two mirrors.,A bathroom with purple walls and 2 mirrors.
485237,416102,Two large jets facing each other at an airport.,2 large jets facing each other at an airport.
323202,417947,White toilet in a restroom with three seashells on the tank.,White toilet in a restroom with 3 seashells on the tank.
433915,419478,A picture of a tv screen with two faces overlapping.,A picture of a tv screen with 2 faces overlapping.
433915,420747,The TV has two men merged together on it.,The TV has 2 men merged together on it.
287545,426425,Two giraffes look over a railing blockade.,2 giraffes look over a railing blockade.
291791,429691,two people standing near a motorcycle on the grass.,2 people standing near a motorcycle on the grass.
287545,430151,Two giraffes have a big log in their enclosure.,2 giraffes have a big log in their enclosure.
38829,432080,Two men ride a big along a busy street.,2 men ride a big along a busy street.
38829,432092,Two boys riding on a single bicycle on a city street.,2 boys riding on a single bicycle on a city street.
267537,434064,A black and white scene with two couples under umbrellas and rain jackets sitting at a stadium.,A black and white scene with 2 couples under umbrellas and rain jackets sitting at a stadium.
38829,435071,Two men are on a bicycle and a third is on a scooter.,2 men are on a bicycle and a third is on a scooter.
566042,441458,Six giraffe are standing looking in the same direction.,6 giraffe are standing looking in the same direction.
566042,444848,Five giraffes standing together and eating near some trees.,5 giraffes standing together and eating near some trees.
104572,453676,"There is an empty tiled bathroom, with two sinks and two mirrors.","There is an empty tiled bathroom, with 2 sinks and 2 mirrors."
104572,454450,This is a commercial bathroom with orange and gray mosaic tiles and three sinks.,This is a commercial bathroom with orange and gray mosaic tiles and 3 sinks.
210032,455204,Two birds preparing to eat food off of a plate that was left on a table outside by the ocean.,2 birds preparing to eat food off of a plate that was left on a table outside by the ocean.
129756,458612,there is a man standing on a hill with sheep and two dogs.,there is a man standing on a hill with sheep and 2 dogs.
210032,458957,there are two birds standing on the plate of food.,there are 2 birds standing on the plate of food.
376284,463519,there is a fire hydrant surrounded by three metal poles.,there is a fire hydrant surrounded by 3 metal poles.
111086,471884,Two rows of cars parked next to a boat.,2 rows of cars parked next to a boat.
154718,472942,A white toilet filled with crap with two pink roles of toilet paper.,A white toilet filled with crap with 2 pink roles of toilet paper.
290768,473982,Three mugs are on the kitchen counter of a stove.,3 mugs are on the kitchen counter of a stove.
166521,475601,A room that has two televisions in it.,A room that has 2 televisions in it.
166521,477725,A living room with two televisions decorated for the holiday.,A living room with 2 televisions decorated for the holiday.
479126,483799,Two women sitting outside hanging out and smoking cigarettes.,2 women sitting outside hanging out and smoking cigarettes.
187249,483901,Television showing a movie with one man threatening another with a razor blade.,Television showing a movie with 1 man threatening another with a razor blade.
479126,487723,Two girls sitting outisde smoking and one girl on a laptop.,2 girls sitting outisde smoking and 1 girl on a laptop.
169996,488329,Two men ride bikes next to the cars in the street.,2 men ride bikes next to the cars in the street.
493286,488591,The restored old time car is parked near a four engine airplane.,The restored old time car is parked near a 4 engine airplane.
169996,490138,Two people are riding bikes through the street traffic.,2 people are riding bikes through the street traffic.
472046,497700,a kitchen with two pineapples on the counter and a wok pot on the burner.,a kitchen with 2 pineapples on the counter and a wok pot on the burner.
301135,498313,Many people are sitting on two benches next to a light pole.,Many people are sitting on 2 benches next to a light pole.
423123,508075,two people bent over to look into a little fridge.,2 people bent over to look into a little fridge.
423123,510691,Two people point at what's in a mini fridge.,2 people point at what's in a mini fridge.
45596,515298,a bunch of parked bikes sit between two buildings.,a bunch of parked bikes sit between 2 buildings.
7386,531857,a home made three wheeled trike sitting in a driveway.,a home made 3 wheeled trike sitting in a driveway.
497568,541624,A commercial plane being serviced by two people.,A commercial plane being serviced by 2 people.
98018,543904,a two burner stove a door a window and a table.,a 2 burner stove a door a window and a table.
502136,545883,a run down building with two planters outside the door.,a run down building with 2 planters outside the door.
109900,548752,"Landing strip with two planes, several men and an SUV.","Landing strip with 2 planes, several men and an SUV."
289992,550360,The bathtub takes up one wall of the small bathroom.,The bathtub takes up 1 wall of the small bathroom.
183709,556475,Four people wait to cross the street at an intersection.,4 people wait to cross the street at an intersection.
22969,560047,"Two giraffe stand in an enclosure, on giraffe leans over the wall.","2 giraffe stand in an enclosure, on giraffe leans over the wall."
22969,570958,Two giraffes in a zoo enjoy a walk and a snack.,2 giraffes in a zoo enjoy a walk and a snack.
161044,577292,The two airplanes are in the air next to eachother.,The 2 airplanes are in the air next to eachother.
161044,579740,Two airplanes are flying in the cloudy sky.,2 airplanes are flying in the cloudy sky.
161044,581993,Two planes that are flying in the sky.,2 planes that are flying in the sky.
6818,585472,"a shower room with two buckets, tolet paper holder and soap.","a shower room with 2 buckets, tolet paper holder and soap."
383676,595224,Two giraffes stand near rocks in a zoo.,2 giraffes stand near rocks in a zoo.
203389,595806,A group of men stand around three motorcycle riders.,A group of men stand around 3 motorcycle riders.
581615,600419,a urinal hanging on a wall in between two stalls.,a urinal hanging on a wall in between 2 stalls.
525322,600949,two stunt airplanes touching their wings as the fly.,2 stunt airplanes touching their wings as the fly.
525322,606064,Two jets are flying against a bright blue sky.,2 jets are flying against a bright blue sky.
525322,608659,two air planes flying in the air near one another.,2 air planes flying in the air near 1 another.
464476,618921,A building has two macintosh computers at the workstations.,A building has 2 macintosh computers at the workstations.
489305,619799,A person shows two bowls full of different fruits.,A person shows 2 bowls full of different fruits.
109055,622325,A cat sitting between two bikes sitting next to each other.,A cat sitting between 2 bikes sitting next to each other.
352618,627537,"A pear, orange, and two bananas in a wooden bowl.","A pear, orange, and 2 bananas in a wooden bowl."
479912,632027,The loading dock is attached to the side of a four engine airliner.,The loading dock is attached to the side of a 4 engine airliner.
479912,635099,An airplane with one wing stands motionless on the tarmac.,An airplane with 1 wing stands motionless on the tarmac.
144300,639938,A motorcycle parked behind two vans in a parking lot.,A motorcycle parked behind 2 vans in a parking lot.
348216,643195,There were six toilet all lined up along the wall.,There were 6 toilet all lined up along the wall.
108026,650948,A computer user types one handed on a keyboard.,A computer user types 1 handed on a keyboard.
348045,652699,Three white urinals mounted to a bathroom wall.,3 white urinals mounted to a bathroom wall.
348045,655255,Three urinals each have small signs posted above them.,3 urinals each have small signs posted above them.
348045,655267,Three urinals are displayed with sings above them.,3 urinals are displayed with sings above them.
529966,656141,Two glass bowls of oranges add up to more than enough.,2 glass bowls of oranges add up to more than enough.
260657,657129,These two photographs show the old sign and the new sign of this restaurant.,These 2 photographs show the old sign and the new sign of this restaurant.
482100,657311,Two toilets sit outside a fence on the sidewalk.,2 toilets sit outside a fence on the sidewalk.
58539,657362,"A man in a red hat, suit, and blue striped tie walks past two other men on a street.","A man in a red hat, suit, and blue striped tie walks past 2 other men on a street."
482100,657380,there is two toilet bowls outside one is blue.,there is 2 toilet bowls outside 1 is blue.
260657,657645,Two tall signs advertising Mexican food under a cloudy sky.,2 tall signs advertising Mexican food under a cloudy sky.
529966,659171,Two clear glass bowls full of oranges on a bar.,2 clear glass bowls full of oranges on a bar.
482100,660773,Two toilets sit outside with for sale signs on them.,2 toilets sit outside with for sale signs on them.
529966,661784,Two bowls of lemons setting on a shelf.,2 bowls of lemons setting on a shelf.
482100,664160,Two toilets sit outside on the pavement next to a yard with many decorations.,2 toilets sit outside on the pavement next to a yard with many decorations.
173799,665512,Two men herding a pack of elephants across a field.,2 men herding a pack of elephants across a field.
529966,666182,Two bowls of oranges are sitting on a metal surface.,2 bowls of oranges are sitting on a metal surface.
567197,667679,There are two old trucks parked next to the building.,There are 2 old trucks parked next to the building.
225184,668070,Three sheep and a dog standing in a field.,3 sheep and a dog standing in a field.
225184,668358,Three sheep running from a dog in the grass.,3 sheep running from a dog in the grass.
173799,670513,Two people stand in front of a bunch of elephants.,2 people stand in front of a bunch of elephants.
342367,671034,A TV showing two men in hats and women.,A TV showing 2 men in hats and women.
260657,672792,two signs that are advertising a mexican restaurant.,2 signs that are advertising a mexican restaurant.
7574,673485,"A kitchen with two sinks, a counter, detergent, a stove and a refrigerator in it.","A kitchen with 2 sinks, a counter, detergent, a stove and a refrigerator in it."
488592,676535,Some one riding a bike through a market.,Some 1 riding a bike through a market.
342367,677523,A television with two men and a woman on the screen.,A television with 2 men and a woman on the screen.
173799,677779,Two elephant herders stand next to a large group of elephants in a field.,2 elephant herders stand next to a large group of elephants in a field.
78266,681442,A clean industrial kitchen with no one in it.,A clean industrial kitchen with no 1 in it.
342367,682233,A TV with a picture of two men wearing black hats.,A TV with a picture of 2 men wearing black hats.
97679,686964,A car with a snowboard on it's ski rack parked in a foggy parking lot next to two cars with empty ski racks.,A car with a snowboard on it's ski rack parked in a foggy parking lot next to 2 cars with empty ski racks.
