image_id,id,caption,preposition,subject,object,verb,wrong_preposition,wrong_caption
50149,430295,A group of bunches of bananas are shown hanging together.,,,,,,
549220,569526,a dog that is sitting on a skate board,,,,,,
303566,768391,A bunch of boxes that have fruit inside of them.,,,,,,
500716,74246,A man looking through a thumb hole on a scissors.,,,,,,
434459,27141,A man and a woman cutting up a big sheet cake.,,,,,,
426241,325298,Many electronic devises and a tangle of wires are on and around the desk.,,,,,,
80273,217727,a man snow boarding with snow gear on ,,,,,,
367680,654453,A horse drawn carriage among several other motor vehicles on a road.,,,,,,
493799,172833,A white plate full of cooked meat and vegetables. ,,,,,,
331817,691507,"A close up of a table with food, bowls and cups.",,,,,,
265816,247610,"A horse, buggy and driver sitting in front of a building.",,,,,,
455301,32184,"A baby looking at a book, and sitting on a bed next to a woman. ",,,,,,
470779,490736,a group of people with skiis standing next to each other ,,,,,,
276707,827061,A close-up of a street sign with small shops in the background. ,,,,,,
122166,791971,The cars are travelling behind the guy on the bicycle,,,,,,
453040,425512,A wedding cake topping with decor and flowers.,,,,,,
572620,194154,A man riding a skateboard on top of a ramp.,,,,,,
565045,317697,Two towels are hanging on the wall beside a shower door.,,,,,,
289516,8468,A clock sits above green bushes under a blue sky.,,,,,,
468505,94896,Dude ecstatic sitting by himself at a table full of food.,,,,,,
426836,714060,THIS IS A BREATHTAKING PHOTO OF SOMEONE FLYING A KITE,,,,,,
580410,239153,A living room with a white sofa and a gray rug.,,,,,,
512985,466163,The man stands holding a surfboard as he looks out at the sea.,,,,,,
25603,545517,A girl sitting around a table in a restaurant eating a pizza.  ,,,,,,
423519,759552,a public transit bus on a city street ,,,,,,
35770,797290,a bathroom with three toilets and a big sink,,,,,,
517056,504767,"Two woman are slicing and plating pieces of cake.
",,,,,,
120572,796388,There is a church near a cemetary. ,,,,,,
559842,96591,boys wearing red shirts running around after a soccer ball,,,,,,
5477,358194,"A gold colored, Polish airplane sitting on the runway. ",,,,,,
392818,827716,a black brown and white dog wearing a pink and white jacket,,,,,,
164885,235198,The skiier easily and skillfully jumps the small mogul.,,,,,,
549674,212641,Computer with two screens showing both screens and the keyboard.,,,,,,
289516,13487,A clock that is surrounded by tall grass in a park.,,,,,,
186980,323698,a wooden dinette table and two chairs with place settings,,,,,,
570736,17358,"A bathroom with a vanity, toilet and shower.",,,,,,
308391,820012,"Sign of Arch Street Fire Department saying ""He who laughs last thinks slowest""",,,,,,
391144,316623,A group of adult elephants and one baby elephant drinking water.,,,,,,
166521,475601,A room that has two televisions in it.,,,,,,
560178,623509,Someone is holding a veggie with a bite already taken from it. ,,,,,,
279145,733084,A wooden bench surrounded by potted plants in front of a house.,,,,,,
523957,786111,a Skateboarder weaving in and out of cones,,,,,,
199977,355648,The airplane in the sky is doing tricks while spitting out smoke. ,,,,,,
65288,418903,Little birds on the back of chairs at an outdoor restaurant ,,,,,,
400922,144798,A photograph of Key Bank with a clock under the sign.,,,,,,
467511,250798,A man and a woman in helmets standing at a motorcycle.,,,,,,
500716,68468,"A man peering through the handle of folding scissors, as if they were eyeglasses.",,,,,,
142620,787064,A man eating out on a table and bench.,,,,,,
328683,565510,A parking meter sitting on the sidewalk in front of a building.,,,,,,
13348,738861,A Japan Airlines plane sits parked at an airport.,,,,,,
159458,434364,A dog laying on a bed in a bedroom with wood floors.,,,,,,
527528,153969,A group of kites are being flown in the air.,,,,,,
358923,512756,A woman with an umbrella hat on talking on a cell phone.,,,,,,
576031,79919,A lady is trying to go ice skating/skiing. ,,,,,,
78032,581672,There are two metal benches on the patio.,,,,,,
185472,136266,The train is approaching and a man is getting off his bicycle.,,,,,,
73118,379035,Two brown teddy bears sitting side by side.,,,,,,
461751,669848,A man on a motorcycle driving beside a van.,,,,,,
422998,736865,A woman is preparing a sandwich on a paper plate.,,,,,,
63740,19458,A desktop with two computers and fruit on it.,,,,,,
451571,189276,Meal with corn on the cob placed on a plate.,,,,,,
300842,476292,A red skateboard with blue wheels on the floor with someones foot on it. ,,,,,,
231822,327981,a tray of food with two glasses of drink and salt and pepper ,,,,,,
80022,216000,A tennis player wearing white holds out his tennis racket as a ball floats in the air near it.,,,,,,
392228,576963,We are looking up at a clock in the peak of a roof.,,,,,,
270402,222385,A couple of elephants are walking around in the dirt,,,,,,
385997,516324,Black and white photograph of a dog sleeping in the middle of a living room,,,,,,
492937,19526,a vintage photo of a bike eith a lock on it,,,,,,
107339,108154,Two children in a room with tables and couches.,,,,,,
132931,519398,two men on different baseball teams getting ready for the next move. ,,,,,,
341469,249316,A man standing next to a stack of red luggage.,,,,,,
515982,595634,"A baseball player sliding into home plate, in a game.",,,,,,
342186,415538,"A pizza that is sitting on a plate, on a table.",,,,,,
22623,382719,Some control buttons on an orange and silver electronic device.,,,,,,
382125,94669,two men sitting at a table with one holding a plate with a slice of pizza on it,,,,,,
459809,443022,A group of people flying a kite on the water.,,,,,,
402096,6942,A traffic sign has been vandalized to look like a scary face.,,,,,,
68765,64503,A keyboard sitting on a desk next to a computer mouse.,,,,,,
490171,374563,A dog rides on a surfboard with a person.,,,,,,
403353,104585,A lamp sitting next to a small bed with a book on top of it.,,,,,,
249643,400153,A train that is riding on tracks through a station.,,,,,,
392933,89181,A giraffe running away through grass toward trees.,,,,,,
347456,406005,Mother and child elephant in a fenced pastoral field.,,,,,,
460494,474914,Assorted meal sitting on a plate with a white glass of milk.,,,,,,
56350,445648,A mural of people are on a yellow tile wall.,,,,,,
271997,539421,A photo of a young male in a suit jacket and tie.,,,,,,
560011,532615,An office desk with a computer keyboard and mouse.,,,,,,
513524,234200,A man in a wetsuit on a blue surfboard.,,,,,,
254516,683896,Batter warming up near dug out during major game.,,,,,,
99810,767578,Small certain was child eating donuts off a blue plate. ,,,,,,
23034,556566,A man riding on the back of a brown horse.,,,,,,
76625,288306,A train with headlights traveling on a track past pedestrians.,,,,,,
172977,516848,A Zebra standing on a dirt ground inside a fenced area.,,,,,,
261796,766974,A tree stands net to an old wood house,,,,,,
46252,557521,a baseball player with a bat on the field,,,,,,
267351,120292,The white and yellow clock with a red roof reads 11:44.,,,,,,
311394,437511,The baby is holding and looking at his tooth brush.,,,,,,
110884,728865,A green tinted bathroom consisting of a toilet and sink,,,,,,
48564,222017,A young man dressed for skiing talking on a cell phone.,,,,,,
151820,28629,A group of people talking and sharing a meal in a restaurant.,,,,,,
525286,627885,A large clock  is on the wall where the paint is peeling.,,,,,,
347544,103400,There is an old multi colored volvo parked next to a motel,,,,,,
253695,428289,A professional baseball player with his glove out.,,,,,,
67534,622459,A man wearing a collar shirt with a blue tie,,,,,,
139,379917,A woman standing in a kitchen by a window,,,,,,
318455,256138,Half a cake and two plates of cupcakes on a table.,,,,,,
23751,186764,A statue of children flying a kite in front of a building.,,,,,,
35770,788206,There is a sink and a black and white toilet,,,,,,
201646,823538,A man is staring at something in his hand.,,,,,,
388927,42201,a hand holding a gray and blue clock and some peoples legs,,,,,,
296969,355611,A group of giraffe standing next to each other.,,,,,,
247838,365178,A herd of bison stroll by the snow covered banks of a stream.,,,,,,
530470,720190,A field full of people flying kites in a cloudy blue sky.,,,,,,
192716,583529,A red stop sign sitting in front of a tall palm tree.,,,,,,
568981,782299,a man that is taking a picture of a little boy,,,,,,
491008,267879,A man and a woman holding up a pizza in a seating area.,,,,,,
279774,313606,Two young boys playing t-ball at ball park,,,,,,
121586,736388,Office space with cat on the television and work.,,,,,,
349860,410320,a man in the air with a skateboard above a half pipe ,,,,,,
516143,609863,A green and blue bus driving down a street.,,,,,,
482978,305481,This is a multi colored train at this train station,,,,,,
39769,547444, two cats lying near two remotes on a purple sheets,,,,,,
516143,608156,An empty city bus travels down a city street.,,,,,,
133418,91825,A man playing tennis on a red coat in all white.,,,,,,
227686,173905,Horse with blinders on walking through wooded area,,,,,,
370478,642925,A suitcase and a laptop sit on a bedroom floor,,,,,,
154644,124648,A LADY TALKING ON THE PHONE AND SMOKING A CIGARETTE. ,,,,,,
104572,453451,A bathroom with orange decorated wallpaper and a mirror. ,,,,,,
450439,87510,"A red, white and blue kit flying among the sky.",,,,,,
443426,657647,A guy in a suit and tie is posing for the camera. ,,,,,,
55528,132631,A man is holding a toothbrush and a paper bag while seated.,,,,,,
118515,19289,A spotted kitten sitting on a wooden bench.,,,,,,
244019,85356,a white wall with some graffiti and a red white and blue fire hydrant,,,,,,
263796,294186,A red toilet with many pipes and wires behind it.,,,,,,
11122,230342,A stop sign behind a green chain link fence.,,,,,,
289417,113644,A boy on skis standing in the snow.,,,,,,
572517,316402,a large bear landing a large polar bear is in the background preparing to drink from the water ,,,,,,
425390,205924,a cat resting on a laptop keyboard in a bedroom,,,,,,
376442,466752,A black stuffed animal sitting on top of a toilet in a bathroom stall with blue floor tile. ,,,,,,
376278,115515,A picture of an animal on the ground.,,,,,,
294162,528472,An open laptop compute with a computer mouse.,,,,,,
282037,596147,A full view of some baseball players in the field.,,,,,,
377393,726087,View of plaza with tower near beach on sunny day.,,,,,,
248334,662248,Group of adults and children riding in wooden boat on river.,,,,,,
551815,96730,An orange cat laying on a white and brown cat in a bed.,,,,,,
170955,372266,That President seems to be walking along the sidewalk.,,,,,,
374727,85517,A street sign showing four different roads on it,,,,,,
214703,629737,Two young people are body boarding in the open water.,,,,,,
190637,95580,an asian baby laying down and playing wii,,,,,,
19402,551900,Two people with heavy winter coats are eating,,,,,,
322895,502560,A living room that has a bunch of different couches.,,,,,,
125850,636144,A cat that has curled up in a bowl.,,,,,,
134322,128595,A kite flown above a body of water with many spectators,,,,,,
61471,545440,A brown dog standing next to a toilet in a bathroom.,,,,,,
125936,381347,People in a grocery story that sells fruit and drinks.,,,,,,
398028,112506,A person practices batting during a baseball game.,,,,,,
361142,678081,this large building has a tower that has a clock on it,,,,,,
192670,507134,A little league baseball player hits a ball.,,,,,,
501243,230147,Three zebras standing in the sand in a zoo.,,,,,,
58111,641344,An orange cat rests on a white counter top,,,,,,
88269,227167,a plate with a bowl of  tomato soup and two halves of a grilled cheese sandwich.,,,,,,
250205,416046,Two heron are standing on some rocks near some water.,,,,,,
581482,47166,A clock in a building in front of windows.,,,,,,
60835,807277,A dog in a a cage with a bed and bowl,,,,,,
227478,382961,Black and white photograph of women on an old park bench,,,,,,
359540,632854,A baseball player swinging and missing the ball.,,,,,,
15338,410741,The passenger buses are travelling down the road.,,,,,,
172856,467435,"A faded stop sign with two street signs above, in a rural area.",,,,,,
117908,588235,a man and a cat looking inside a fridge,,,,,,
146155,397604,Two  men standing near a bar drinking together,,,,,,
35062,429854,A little boy asleep under a sunflower print blanket,,,,,,
127530,329244,A man on a court swinging a tennis racket.,,,,,,
17182,90076,A wooden teacher's desk with books stacked on it and a blackboard in the background.,,,,,,
404678,28935,A group of people sitting in a restaurant booth eating food.,,,,,,
492110,95365,A man looking at a laptop with a confused look,,,,,,
447088,342758,Three baseball players from the Chicago cubs teams.,,,,,,
187513,28968,A bathroom with green walls and a toilet and a shower.,,,,,,
192607,16116,A man and his truck on a trail in a forest.,,,,,,
249129,117489,A group of teddy bears sitting at a small table in front of a christmas tree.,,,,,,
374727,89252,a polewith many street signs standing in front of a very tall building,,,,,,
521819,124198,a group of people are playing frisbee in a park,,,,,,
375469,35501,Two surfers are riding a wave on their surf boards.,,,,,,
164115,202154,A surfboard sitting next to a shopping cart.,,,,,,
235784,788761,a kid stands in the snow on his skiis,,,,,,
462371,683741,Several people are gathered at a reception with appetizers.,,,,,,
433980,405306,A photo of a woman that she took of herself.,,,,,,
357430,49858,A large pizza sitting on a pizza pan with a slice missing.,,,,,,
147725,444841,A metro bus driving down a fairly busy city street.,,,,,,
209829,778772,A man that is standing on a surfboard in the water.,,,,,,
268375,116285,A goup of elephants in an enclosed area with a lot of trees behind them.,,,,,,
417465,100955,A bear sitting on a log with a really long tongue,,,,,,
43435,809497,Two surfers are riding two large ocean waves.,,,,,,
342186,417938,A pizza with toppings served on a plate,,,,,,
526751,288399,A boat sitting on top of a beach next to a body of water.,,,,,,
42628,372339,A group of people walking across very dirty snow.,,,,,,
497344,178720,A baby has one hand on a computer and holds a cellphone in the other hand.,,,,,,
183709,558725,People looking at a stop light on the other side of the road. ,,,,,,
142585,477038,A group of cars and motorbike crowd the streets. ,,,,,,
32038,120872,a close up of a pizza on a wooden table  ,,,,,,
419096,509219,A freight train running along tracks beneath a bridge.,,,,,,
210099,29791,A cat sitting on a wicker chair in the sun.,,,,,,
347174,265185,A tattooed woman lying down on a bed in a bedroom.,,,,,,
95155,337623,Four picture collage of a snowboarder wearing a red jacket and brown pants going down a snowy mountain side.,,,,,,
111179,394398,Clock tower on top of a building outside on a sunny day.,,,,,,
534041,665817,Mom has to help him eat his hot dog and bun.,,,,,,
188592,777486,A toddler is sitting on a blanket outdoors eating an apple. ,,,,,,
552775,239012,The man is close to an oven full of cookies that are being prepared.,,,,,,
186422,585034,A brown bear walking along a river filled with rocks.,,,,,,
76547,693738,there is a man sitting at a table using a lap top,,,,,,
547502,749538,Four dogs in a yard are playing with a Frisbee.,,,,,,
523229,309101,A dirty public bathroom with a handicap sign located above the toilet. ,,,,,,
420840,56421,A young toddler with food on her face sticking out her tongue. ,,,,,,
61747,45540,A woman in plaid pants posing for a picture on skis.,,,,,,
124636,42590,One cow standing and one laying down within a fence.,,,,,,
107851,284639,Several groups of people riding on the back of elephants.,,,,,,
6213,741043,a bathroom view of a tub and sink wit mirrors ,,,,,,
139871,625601,An airplane on a runway preparing to take off.,,,,,,
226154,437962,A green and white bus on street next to dirt area.,,,,,,
415748,209806,An old decorated elephant and its colorful rider,,,,,,
242411,415940,White building with clocks located to be viewed from 4 angles,,,,,,
321214,276146,A baby in plaid shirt eating a frosted cake.,,,,,,
82846,713999,A red trolley car driving down a parking lot.,,,,,,
32817,398202,Two men stand over the green water spilled from a toilet.,,,,,,
161875,695469,A girl standing in a field in a dress.,,,,,,
581100,18752,Two giraffe's and a water buffalo in a zoo type environment,,,,,,
68078,748284,A dog in a small bathroom with an orange shower curtain.,,,,,,
319607,236412,"A traffic light on the intersection of a city, with a large building and a bicyclist in the background.",,,,,,
571893,317596,A kitchen countertop and some books on a shelf.,,,,,,
281759,292316,Women in warm weather clothes with multi-colored parasols.,,,,,,
374052,279284,A man sits by himself on a bench surrounded by pigeons. ,,,,,,
72813,634909,Dog lies on bed looking towards the camera,,,,,,
288762,365451,Alfalfa sprouts and colorful pepper salad on a plate.,,,,,,
478136,298387,A plate with frosted donuts and other pastries. ,,,,,,
258388,803576,a man rides his skateboard on a small ledge while another man lights the spray from a can on fire,,,,,,
68833,352767,A counter and some chairs in a small room.,,,,,,
527029,88998,A man covering his eyes next to cases of bananas,,,,,,
368940,140717,a bathroom with a mirror and a sink,,,,,,
221754,13501,An urban intersection with stoplights on a cloudy day.,,,,,,
90108,682370,A bathroom with blue walls and white tiles.,,,,,,
444879,51030,A commuter train traveling down snow covered train tracks.,,,,,,
505565,731486,A flock of birds standing on top of a lush green field.,,,,,,
248111,634677,some cans sitting on the kitchen floor ,,,,,,
154339,432253,Gauges attached to pipes displayed in dimly lit area.,,,,,,
386879,85466,This tennis player is happy to be in the game.,,,,,,
45090,325695,People on a wave using a surf board in the ocean.,,,,,,
482917,13606,"A man relaxing at home, watching television with his dog.",,,,,,
272136,305658,A large propeller plane mounted to the ceiling of a building.,,,,,,
9891,752894,The man is loading luggage suitcases onto the cart in the parking lot. ,,,,,,
190841,470426,A man in black shirt doing a trick on a skateboard.,,,,,,
507473,459634,A girl is taking a selfie while brushing her teeth.,,,,,,
116825,67819,A cat plays with a pocket knife on a table.,,,,,,
292236,162131,A couple of men standing next to train tracks.,,,,,,
166426,80454,A meal is ready to be eaten with its silverware. ,,,,,,
31749,99535,A disturbing doll sits next to a clock in a mirrored image.,,,,,,
322895,546939,A room with a full wall of windows with multiple sofas and chairs.,,,,,,
276921,541489,Two teddy bears hang from the inside of a car.,,,,,,
473869,801498,A man looking at camera preparing food in kitchen,,,,,,
233727,799127,A bus drives on a paved road with markings.,,,,,,
476258,403531,Man in yellow and black body suit on skateboard.,,,,,,
140439,185421,vase full of tulips arranged on a table in someones kitchen,,,,,,
520324,192480,a small air plane on a small run way,,,,,,
154431,805861,a statue of a bodt stting on a cart with wheels,,,,,,
24021,10005,A group photo of men and boys from the Goodmayes Boys School dated April 1929.,,,,,,
201934,488802,An old school bus painted white with curtained windows parked under a freeway,,,,,,
266206,734572,Outside shot of a restroom showing the door partially open.,,,,,,
500211,286374,All of the umbrellas are folded up. ,,,,,,
210520,249426,A bunch of food and flowers sits on a table.,,,,,,
383337,108635,A hand reaching into a box of donuts on a counter.,,,,,,
305609,197951,a table with many plates of food on top,,,,,,
521259,161071,The man is playing Frisbee with the young boy.,,,,,,
276285,820227,pizza an other food on a table at a restaurant,,,,,,
115946,395448,Cars are parked on both sides of the narrow street full of tall buildings.,,,,,,
567898,781957,A plate of food sits next to its dessert,,,,,,
161781,514767,A woman is skiing down a hill with safety netting.,,,,,,
579321,513227,"A small long haired dog wearing shirt and bandana, on a leash.",,,,,,
63154,64120,A man laying flat on a surfboard paddling through the water,,,,,,
451090,99243,A white sail boat moored in a lake near a mountain range.,,,,,,
78748,281603,"A couple of motorcycles in front of sign, with people standing around.",,,,,,
294855,437504,A metal bucket with a bottle of booze sticking out of it.,,,,,,
544605,750387,A street sign is pictured against a cement wall.,,,,,,
139883,793665,A view of a piece of art near a tree.,,,,,,
118594,390681,A Texas Longhorn bull grazing on grass. ,,,,,,
476119,553339,A skateboarder rides down the street with a helmet,,,,,,
317999,15540,a child in bed with a pacifier looks at a picture book while an adult looks on,,,,,,
544519,225142,A young child brushes their teeth with a blue toothbrush.,,,,,,
261982,740758,A person is riding on a skateboard on the street.,,,,,,
304291,660325,a horse that is walking around a field,,,,,,
50896,582201,A bowl that has some oranges in it.,,,,,,
372466,734512,A computer mouse sitting on top of a computer desk.,,,,,,
117719,5674,A man sits at a bar in front of dozens of bottles of alcohol.,,,,,,
374545,80962,A park setting on a sunny day with an American flag.,,,,,,
58111,649150,A lone cat lounging on top of a counter.,,,,,,
136633,184586,An umbrella is opened over a table at an outdoor market. ,,,,,,
367228,663372,A person playing with a kite near the beach,,,,,,
535578,231024,Sheep graze in a lushly green mountain meadow,,,,,,
260261,546308,A man standing behind a truck filled with produce.,,,,,,
229858,206616,A baby deer and a large deer are standing in the woods. ,,,,,,
239041,415508,A bathroom with purple walls and two mirrors.,,,,,,
288685,764204,A group of sheep are being herded by a dog as people watch.,,,,,,
522393,781669,Some people who are riding on a sail boat.,,,,,,
409198,82115,A man playing disk frizbe in a park.,,,,,,
389532,450330,A man and a bird standing on top of a roof. ,,,,,,
239347,806682,A photo of a man and his wife on a bed,,,,,,
365385,815639,A toothbrush is sitting inside a cup next to a sink.,,,,,,
474854,60919,a man sitting in a chair and eating a donut outside near some shrubbery.,,,,,,
163746,83431,people walking onto the beach from the water,,,,,,
125572,618295,a woman riding a bike in the street and a building with a clock in the background,,,,,,
120420,615829,Individual is doing something at the moment that is intriguing.,,,,,,
402783,130665,Seven pieces of orange peel on a white plate.,,,,,,
2299,692974,Many small children are posing together in the black and white photo. ,,,,,,
18193,281190,a person eating an apple with a plate of food,,,,,,
26926,608249,An orange fire hydrant with graffiti to look like a face.,,,,,,
232538,19206,A yellow and blue train is next to an overhang.,,,,,,
258793,496655,The very pretty sun shining through some big buildings.,,,,,,
529105,545480,A horse laying down on top of a lush green field.,,,,,,
145665,727177,A man laying on a painted line holding his knee in a parking lot,,,,,,
444142,803862,A man throws a tennis ball into the air to serve it,,,,,,
19924,537310,a woman with a tie smoking a cigarette with a big smile,,,,,,
369370,24613,A white bread sandwich on plate filled with ham and lettuce,,,,,,
327617,439617,A pretty young lady standing on a tennis court holding a racquet.,,,,,,
300913,689812,A kitten is laying on a green throw pillow.,,,,,,
512648,365403,A brown cow under a tree in a grassy area.,,,,,,
91500,66816,Two boys sit on chairs and play video games.,,,,,,
394275,701236,a bus moving down the road with people inside,,,,,,
214192,107862,two people on dirt bikes making turns on a track,,,,,,
438955,800471,A group of ski racers on a race trail.,,,,,,
259597,54217,A child watching an event and taking a picture with his cell phone.,,,,,,
547886,254804,The men are riding their horses down the beach. ,,,,,,
3501,618614,"A bean and corn mixture, rice, and broccoli on a plate",,,,,,
97278,437658,A young person is on their ski board in the snow. ,,,,,,
83540,311115,A person on skis on snowy forest path.,,,,,,
498286,437279,A grey dog with a black collar sits outside in the sun. ,,,,,,
221754,27196,A wide empty street corner filled with buildings.,,,,,,
135410,611788,A stack of balls that is next to a parking meter.,,,,,,
449312,508887,A woman sitting in front of a case filled with sweets.,,,,,,
404678,36258,A group of people sit in a restaurant together.,,,,,,
287649,590883,a close up of a cat on a desk near a keyboard,,,,,,
189213,7322,A pile of junk sitting next to a curb on green grass.,,,,,,
139077,689338,A young boy holding a Nintendo Wii game controller.,,,,,,
273711,279064,Many containers of food are on the table.,,,,,,
286503,325661,An elephant eating something from a hanging net.,,,,,,
274687,799695,a black bike rests against a brown bed,,,,,,
561256,19511,A woman taking a picture of herself in a bathroom.,,,,,,
231169,9067,The black and white locomotive is on the train tracks.,,,,,,
274272,263827,a public transit bus with traffic lights ,,,,,,
21465,620109,A dirty table has incense burners on it.,,,,,,
138856,582555,a loaf of bread is sitting on top of a oven,,,,,,
86483,774048,a black white and red sign grass and a building,,,,,,
11051,388446,A girl pins a bouttoniere on the lapel of her date.,,,,,,
565607,354119,A green and silver fire hydrant sitting in a field of flowers,,,,,,
188465,495052,Baseball game taking place with a huge crowd in the stands watching. ,,,,,,
348481,393382,"A laptop, cellphone, mp3 player, and a book are on a table.",,,,,,
371472,476134,many pienapples and bannanas sitting on a stand,,,,,,
455085,284494,A bus stopped on the side of the road.,,,,,,
248980,592313,There is a platter with a salad on white linen.,,,,,,
213422,284617,"A bed, desk and various installations in a room.",,,,,,
440507,571741,A suitcase that is next to shoes on a floor.,,,,,,
427338,132569,A person riding a motorcycle in an abandoned stone building,,,,,,
255718,139974,A close up picture of a fire hydrant on a street.,,,,,,
553094,199225,A jet with smoke pouring from its wings.,,,,,,
47010,336796,Three giraffes with heads pointing ahead walk on a dirt path.,,,,,,
337498,621647,A big slice of pizza on a plate next to a glass of beverage,,,,,,
229747,612871,A airplane that is flying in the sky.,,,,,,
559543,217501,A little girl in a pink shirt holding a game controller.,,,,,,
215644,646821,A microwave that is inside of the wall in a home.,,,,,,
249550,364032,A bed with a flowered bedspread and four pillows.,,,,,,
286458,307729,Opened suitcase displaying many different items in plastic bags.,,,,,,
407943,188356,A head in silhouette in front of a large umbrella.,,,,,,
207306,133732,a teddy bear dressed in prison stripes sitting on top of a trash can,,,,,,
181499,463944,A hand is holding a cd by a laptop computer.,,,,,,
490936,282935,two covered motorcycles in a row of motorcycles parked on the street,,,,,,
44279,270332,People are cooking on grills in a commercial kitchen.,,,,,,
201418,608927,A young man standing in front of a luggage carousel at an airport.,,,,,,
168593,769951,Two refrigerators standing side by side in a room.,,,,,,
122969,655278,two zebras standing by each other and some plants ,,,,,,
451308,382456,A tall stack of suit cases is in the hall way.,,,,,,
106235,482335,"A den with couches, a chair, tables and lamps.",,,,,,
356432,537248,a couple of couches in a living room,,,,,,
369771,172204,Two dishes of food and several blue arrows.,,,,,,
195045,146221,An empty field with older structure in the background.,,,,,,
575372,645671,A  view of a street light on route 66.,,,,,,
186282,135679,Computer setup with a multiple colored screen on it. ,,,,,,
99242,17781,A man skiing down a snowy hill alone.,,,,,,
389316,44763,"Two elephants outside, one being fed, one standing.",,,,,,
91615,532834,"A kitchen has light wooden colored cabinetry, beige countertops, and stainless steel appliances in an open concept house.",,,,,,
560178,621004,Hand showing vegetable that has being chewed near garden area.,,,,,,
222235,127936,A cat is playing with a plan in a park.,,,,,,
99054,64555,A large jet airplane sitting on a tarmac at an airport.,,,,,,
121031,649919,The shirtless men are riding horses through the lake. ,,,,,,
16958,289053,A room with a fireplace and a wooden table.,,,,,,
37670,258341,Electronic wand displayed for modern type of toilet.,,,,,,
1818,295528,Baby zebra sucking milk from its mothers teat. ,,,,,,
130826,171485,Two men sitting next to each other on a wooden bench.,,,,,,
113589,240960,Plastic containers filled with food including fruits and vegetables.,,,,,,
54592,553135,"Two people with snow gear on, carrying equipment.",,,,,,
459757,12332,A giraffe standing by a pair of skinny trees.,,,,,,
214200,704510,"A red stop sign that reads "" Eating Animals "" below it.",,,,,,
553221,247623,A group of people enjoying the water with sails.,,,,,,
309655,808901,A woman stands on skis on a snowy hill.,,,,,,
302107,172017,A baseball player in mid swing hitting a ball.,,,,,,
489339,220908,A woman is wearing a wetsuit while holding a surfboard.,,,,,,
334767,393304,a group of beginner snow skiers having class,,,,,,
532129,529121,Cheese pizza is sliced into small pieces on a plate.,,,,,,
